URL,Version,Status,OIDs,Name,Title,Description,Used
http://ohs.dev/CodeSystem/search-scope-cs,0.1.0,draft,,SearchScopeCS,Search Scope CodeSystem,"Valid locations within a FHIR Search Result where resources are found. Used by ViewJoinMap to specify where to look for pivot and joined resources.","ValueSet/search-scope-vs"
http://ohs.dev/CodeSystem/view-type-codesystem,0.1.0,draft,,ViewTypeCS,UI Component Types (example),"**Example** vocabulary of view types. Each code names a kind of UI component used to render a piece of FHIR-derived data; a ViewConfig binds to one of these codes to select its component. View types are implementer-defined — a player provides its own CodeSystem rather than reusing these codes. The mapping from a code to a concrete renderer is the player's own implementation detail.","ValueSet/view-type-vs"
