"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ContactItemConfig","ContactItemConfig","","","",0,*,"","","","null {[]} {[]}
","Contact Item Configuration","Configuration for the ContactItem component rendered inside the Contacts section.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ContactItemConfig.padding","ContactItemConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"ContactItemConfig.showRelationship","ContactItemConfig.showRelationship","","","",0,1,"","","","boolean {[]} {[]}
","Show the relationship label chip","Show the relationship label chip","","","","","","","","","",,,,,"",,,,"ContactItemConfig.showRelationship",0,1,"",""
"ContactItemConfig.showPhone","ContactItemConfig.showPhone","","","",0,1,"","","","boolean {[]} {[]}
","Show the contact phone number","Show the contact phone number","","","","","","","","","",,,,,"",,,,"ContactItemConfig.showPhone",0,1,"",""
