"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ConditionItemConfig","ConditionItemConfig.showStatus","ConditionItemConfig.showStatus","","","",0,1,"","","","boolean {[]} {[]}
","Show the clinical status chip","Show the clinical status chip","","","","","","","","","",,,,,"",,,,"ConditionItemConfig.showStatus",0,1,"",""
"ContactItemConfig","ContactItemConfig","ContactItemConfig","","","",0,*,"","","","null {[]} {[]}
","Contact Item Configuration","Configuration for the ContactItem component rendered inside the Contacts section.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ContactItemConfig","ContactItemConfig.padding","ContactItemConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"ContactItemConfig","ContactItemConfig.showRelationship","ContactItemConfig.showRelationship","","","",0,1,"","","","boolean {[]} {[]}
","Show the relationship label chip","Show the relationship label chip","","","","","","","","","",,,,,"",,,,"ContactItemConfig.showRelationship",0,1,"",""
"ContactItemConfig","ContactItemConfig.showPhone","ContactItemConfig.showPhone","","","",0,1,"","","","boolean {[]} {[]}
","Show the contact phone number","Show the contact phone number","","","","","","","","","",,,,,"",,,,"ContactItemConfig.showPhone",0,1,"",""
"GroupCardConfig","GroupCardConfig","GroupCardConfig","","","",0,*,"","","","null {[]} {[]}
","Group Card Configuration","Configuration for the GroupCard component rendered in the household list screen.
Controls which household fields are visible on the card.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"GroupCardConfig","GroupCardConfig.padding","GroupCardConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"GroupCardConfig","GroupCardConfig.elevation","GroupCardConfig.elevation","","","",0,1,"","","","decimal {[]} {[]}
","Shadow elevation depth in DP","Shadow elevation depth in DP","","","","","","","","","",,,,,"",,,,"CardConfig.elevation",0,1,"",""
"GroupCardConfig","GroupCardConfig.cornerRadius","GroupCardConfig.cornerRadius","","","",0,1,"","","","decimal {[]} {[]}
","Corner rounding radius in DP","Corner rounding radius in DP","","","","","","","","","",,,,,"",,,,"CardConfig.cornerRadius",0,1,"",""
"GroupCardConfig","GroupCardConfig.showMemberCount","GroupCardConfig.showMemberCount","","","",0,1,"","","","boolean {[]} {[]}
","Show the number of household members","Show the number of household members","","","","","","","","","",,,,,"",,,,"GroupCardConfig.showMemberCount",0,1,"",""
"GroupCardConfig","GroupCardConfig.showLocation","GroupCardConfig.showLocation","","","",0,1,"","","","boolean {[]} {[]}
","Show the household location","Show the household location","","","","","","","","","",,,,,"",,,,"GroupCardConfig.showLocation",0,1,"",""
"GroupHeaderConfig","GroupHeaderConfig","GroupHeaderConfig","","","",0,*,"","","","null {[]} {[]}
","Group Header Configuration","Configuration for the GroupHeader component shown at the top of the household
profile screen. Controls which household and head-of-household fields are visible.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"GroupHeaderConfig","GroupHeaderConfig.padding","GroupHeaderConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"GroupHeaderConfig","GroupHeaderConfig.elevation","GroupHeaderConfig.elevation","","","",0,1,"","","","decimal {[]} {[]}
","Shadow elevation depth in DP","Shadow elevation depth in DP","","","","","","","","","",,,,,"",,,,"CardConfig.elevation",0,1,"",""
"GroupHeaderConfig","GroupHeaderConfig.cornerRadius","GroupHeaderConfig.cornerRadius","","","",0,1,"","","","decimal {[]} {[]}
","Corner rounding radius in DP","Corner rounding radius in DP","","","","","","","","","",,,,,"",,,,"CardConfig.cornerRadius",0,1,"",""
"GroupHeaderConfig","GroupHeaderConfig.showMemberCount","GroupHeaderConfig.showMemberCount","","","",0,1,"","","","boolean {[]} {[]}
","Show the total number of household members","Show the total number of household members","","","","","","","","","",,,,,"",,,,"GroupHeaderConfig.showMemberCount",0,1,"",""
"GroupHeaderConfig","GroupHeaderConfig.showHeadName","GroupHeaderConfig.showHeadName","","","",0,1,"","","","boolean {[]} {[]}
","Show the head-of-household name","Show the head-of-household name","","","","","","","","","",,,,,"",,,,"GroupHeaderConfig.showHeadName",0,1,"",""
"ImmunizationItemConfig","ImmunizationItemConfig","ImmunizationItemConfig","","","",0,*,"","","","null {[]} {[]}
","Immunization Item Configuration","Configuration for the ImmunizationItem component rendered inside the Immunizations section.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ImmunizationItemConfig","ImmunizationItemConfig.padding","ImmunizationItemConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"ImmunizationItemConfig","ImmunizationItemConfig.elevation","ImmunizationItemConfig.elevation","","","",0,1,"","","","decimal {[]} {[]}
","Shadow elevation depth in DP","Shadow elevation depth in DP","","","","","","","","","",,,,,"",,,,"CardConfig.elevation",0,1,"",""
"ImmunizationItemConfig","ImmunizationItemConfig.cornerRadius","ImmunizationItemConfig.cornerRadius","","","",0,1,"","","","decimal {[]} {[]}
","Corner rounding radius in DP","Corner rounding radius in DP","","","","","","","","","",,,,,"",,,,"CardConfig.cornerRadius",0,1,"",""
"ImmunizationItemConfig","ImmunizationItemConfig.showDate","ImmunizationItemConfig.showDate","","","",0,1,"","","","boolean {[]} {[]}
","Show the administration date","Show the administration date","","","","","","","","","",,,,,"",,,,"ImmunizationItemConfig.showDate",0,1,"",""
"ImmunizationItemConfig","ImmunizationItemConfig.showStatus","ImmunizationItemConfig.showStatus","","","",0,1,"","","","boolean {[]} {[]}
","Show the immunization status chip","Show the immunization status chip","","","","","","","","","",,,,,"",,,,"ImmunizationItemConfig.showStatus",0,1,"",""
"MedicationItemConfig","MedicationItemConfig","MedicationItemConfig","","","",0,*,"","","","null {[]} {[]}
","Medication Item Configuration","Configuration for the MedicationItem component rendered inside the Medications section.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicationItemConfig","MedicationItemConfig.padding","MedicationItemConfig.padding","","","",0,1,"","","","decimal {[]} {[]}
","Content padding in density-independent pixels (DP)","Content padding in density-independent pixels (DP)","","","","","","","","","",,,,,"",,,,"ViewConfig.padding",0,1,"",""
"MedicationItemConfig","MedicationItemConfig.elevation","MedicationItemConfig.elevation","","","",0,1,"","","","decimal {[]} {[]}
","Shadow elevation depth in DP","Shadow elevation depth in DP","","","","","","","","","",,,,,"",,,,"CardConfig.elevation",0,1,"",""
"MedicationItemConfig","MedicationItemConfig.cornerRadius","MedicationItemConfig.cornerRadius","","","",0,1,"","","","decimal {[]} {[]}
","Corner rounding radius in DP","Corner rounding radius in DP","","","","","","","","","",,,,,"",,,,"CardConfig.cornerRadius",0,1,"",""
"MedicationItemConfig","MedicationItemConfig.showStatus","MedicationItemConfig.showStatus","","","",0,1,"","","","boolean {[]} {[]}
","Show the medication status chip","Show the medication status chip","","","","","","","","","",,,,,"",,,,"MedicationItemConfig.showStatus",0,1,"",""
